"M","confiabilidade","n","num_pontos","coeficiente","vicio","eqm","pc_amplitude"
1000,0.9,350,7,"omega",-0.015,0,"0.598 (0.038)"
1000,0.9,350,7,"omega ordinal",0,0,"0.965 (0.036)"
1000,0.9,500,3,"alfa_std",-0.047,0.002,"0 (0.041)"
1000,0.9,500,3,"alfa ordinal",0,0,"0.947 (0.035)"
1000,0.9,500,3,"omega",-0.047,0.002,"0 (0.041)"
1000,0.9,500,3,"omega ordinal",0,0,"0.946 (0.035)"
1000,0.9,500,5,"alfa_std",-0.022,0.001,"0.195 (0.034)"
1000,0.9,500,5,"alfa ordinal",0,0,"0.945 (0.031)"
1000,0.9,500,5,"omega",-0.022,0.001,"0.193 (0.034)"
1000,0.9,500,5,"omega ordinal",0,0,"0.944 (0.031)"
1000,0.9,500,7,"alfa_std",-0.015,0,"0.515 (0.032)"
1000,0.9,500,7,"alfa ordinal",0,0,"0.942 (0.03)"
1000,0.9,500,7,"omega",-0.015,0,"0.511 (0.032)"
1000,0.9,500,7,"omega ordinal",0,0,"0.941 (0.03)"
