"estimativa","ic_normal_cobre","amplitude_ic_normal","ic_boot_cobre","amplitude_ic_boot"
-0.0743532135243904,0,0.390747820461714,0,0.398614547360418
0.172133224856521,1,0.381632810553309,1,0.392775401463034
0.294774202627407,1,0.359908494683446,1,0.428333302526847
0.0354135884051803,1,0.392362554825113,1,0.421270589531846
0.332263175265416,1,0.350962396697879,1,0.423234746960863
0.269307168830398,1,0.365367581476622,1,0.396132598093927
0.0505730472152308,1,0.391870171676555,1,0.373492628612167
0.063338682633577,1,0.391320826113983,1,0.342437091966118
0.0889985424260048,1,0.389843811019185,1,0.431268875228544
0.118053196706114,1,0.3875698366908,1,0.392454382527878
0.257359416947467,1,0.367756903496827,1,0.398395860990183
0.135183816400212,1,0.385929379930312,1,0.37972614969649
0.169204302477541,1,0.382011247264502,1,0.349186012164392
0.115645847489276,1,0.38778254203445,1,0.44212624822305
0.30772924198602,1,0.356939763826104,1,0.442479944531718
0.210777842202108,1,0.376028097966205,1,0.365121860411873
0.286901073961952,1,0.361649468684071,1,0.389130851911098
0.112579591990328,1,0.388047107771285,1,0.419389365535179
0.171493243511223,1,0.381716057509612,1,0.394530684647666
0.24248958404839,1,0.370577669696638,1,0.419381330158222
0.32429201060388,1,0.352955533053176,1,0.334763398631108
0.257779844280582,1,0.367674685622817,1,0.387012233628038
0.236191415656814,1,0.371721356658085,1,0.364653009416899
0.267629214879945,1,0.365709754819696,1,0.413703616436954
0.277075152435608,1,0.363755322894773,1,0.415468019586802
0.182729041991434,1,0.380209251515948,1,0.423358740671937
0.386175815211387,0,0.336186127950944,0,0.374266115477965
0.119999904343104,1,0.387394620535865,1,0.439673550948648
0.234865386004107,1,0.371958282326087,1,0.399146050446501
0.226042684638774,1,0.373500418515317,1,0.374340085409824
0.00714441699035806,1,0.39281695749167,0,0.370710040064478
0.221815434974798,1,0.374218221287232,1,0.460722619775804
0.354970180431455,1,0.345014563245034,1,0.397231526861246
0.189762862598504,1,0.379217058040395,1,0.411865218956469
0.220561717690878,1,0.374428481931097,1,0.413939742911213
0.210837864891639,1,0.376018507331212,1,0.370671522909084
0.119124571237195,1,0.387473761477706,1,0.400316613992391
0.143235494383064,1,0.385081448755926,1,0.400506700419363
0.286891767768379,1,0.361651498302822,1,0.346876113355597
0.0774634310189798,1,0.390569406844935,1,0.439093993486094
0.215049818776694,1,0.375338639722174,1,0.446914637354703
-0.0206715993112455,0,0.392674844118218,1,0.456035358470421
0.184558243191198,1,0.379954848107421,1,0.39214188427573
0.0610665348311573,1,0.391427615856886,1,0.463652912251578
0.247508211937488,1,0.369644592107108,1,0.374385287507148
0.190929724270179,1,0.379048816418498,1,0.40400550533316
0.290980929867898,1,0.360753256231272,1,0.427755253819984
0.224703779608887,1,0.373729247236225,1,0.41950295073431
0.177002737680243,1,0.380989194678541,1,0.386247641186782
0.162323678227737,1,0.382874612104808,1,0.432611767906062
0.239301175223204,1,0.371160448853136,1,0.410740236844267
0.267434207286001,1,0.365749381089984,1,0.336414230572405
0.0938356163901052,1,0.389509581338994,1,0.38293437779856
0.0421464123651651,1,0.392165307783147,1,0.362924683776209
0.162277776477208,1,0.382880250915668,1,0.430366159430843
0.0593898832954285,1,0.39150391488435,1,0.43229183732574
0.368541513745506,1,0.341268364641851,1,0.358605961639238
0.172513865351233,1,0.38158315018516,1,0.427302981306203
0.141308909847858,1,0.385288816578088,1,0.456447936810499
0.22205673184174,1,0.37417761564421,1,0.401527193721697
0.149619727312838,1,0.384374145775752,1,0.365847875801207
0.0783284038562203,1,0.390518488394049,1,0.435160792642286
0.158994679043862,1,0.38327941103281,1,0.391343208680256
0.208828503846176,1,0.376338075523832,1,0.40991579770391
0.22903992084785,1,0.372983201660608,1,0.461576016977068
0.147365338016325,1,0.384627441256257,1,0.419526262430003
0.291970652272795,1,0.360533914030855,1,0.416126777583151
0.237366565424575,1,0.371510264640384,1,0.418788402236855
0.16747023070724,1,0.382232226838262,1,0.444179111486359
0.0656863454419203,1,0.391206387164459,1,0.37848540168997
0.136505950639433,1,0.385793519771241,1,0.412489415499932
0.154792308768714,1,0.383778386642782,1,0.428864032787269
0.0246246006891738,1,0.392607215469011,1,0.378270323264927
0.248183119894408,1,0.36951763955777,1,0.409249967120165
0.236110752643205,1,0.371735807389535,1,0.441120256218933
0.243091895889592,1,0.370466704761068,1,0.465268936793844
0.345365122909736,1,0.347579343240154,1,0.405169923576174
0.0208525283650368,1,0.392672006539403,1,0.389300692665877
0.244749704164876,1,0.370159849285253,1,0.365956168857431
0.183792782290598,1,0.380061617553691,1,0.40203174981422
0.330445445741555,1,0.351421239222304,1,0.368635215240259
0.12115546638013,1,0.387289254118237,1,0.406150804757578
0.217444868451088,1,0.374946005220116,1,0.386516381609263
0.218182194359247,1,0.374824249245172,1,0.387358809332478
0.052386504145785,1,0.391799639483932,1,0.369238175088381
0.277955738052574,1,0.363569628825727,1,0.383842083942598
0.0921778588924313,1,0.38962612267943,1,0.43192699082498
0.100990727550032,1,0.388982706813219,1,0.439177336307704
0.234533805210867,1,0.372017316596508,1,0.4046630323919
0.184450861946058,1,0.379969852958123,1,0.396734782202946
0.0347953758744888,1,0.392378949255337,1,0.424325383761917
0.107396221810991,1,0.388478147719187,1,0.412001422198609
0.208687519575083,1,0.376360381953877,1,0.393949490700955
0.239697340057543,1,0.371088461033078,1,0.39330175142479
0.0152290696920312,1,0.39274864117589,1,0.402177606260853
0.403235871121471,0,0.331038021200628,0,0.312366262468619
0.0445197149110076,1,0.392087613309851,1,0.459240301910995
